year,month,rota,origin_icao,origin_city,origin_uf,origin_regiao,dest_icao,dest_city,dest_uf,dest_regiao,n_voos,n_cancelados,n_voos_com_clima,n_trigger_5mm,n_trigger_10mm,n_trigger_20mm,n_chuva_extrema_50mm,n_double_5mm,n_sem_clima,n_dia_pico_p99,freq_cancelamento,freq_chuva_5mm,freq_chuva_10mm,freq_chuva_20mm,pp_cancel_brl,pp_chuva5_brl,pp_total_brl,flag_bucket_com_pico_nacional,flag_covid_periodo,flag_covid_restrito,flag_estacao_chuvosa_tipica_destino,flag_estacao_seca_tipica_destino,flag_periodo_atipico_sugerido,flag_quebra_serie_vra_2016_2017
2025,5,SBSP→SBNF,SBSP,SÃO PAULO,SP,SE,SBNF,NAVEGANTES,SC,S,274,3,274.0,31,0,0,0,0,0,0,0.010948905109489052,0.11313868613138686,0.0,0.0,5.474452554744526,33.941605839416056,39.41605839416058,False,False,False,False,True,False,False
2025,5,SBUL→SBMO,SBUL,UBERLÂNDIA,MG,SE,SBMO,RIO LARGO,AL,NE,9,0,9.0,4,4,2,0,0,0,0,0.0,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.0,133.33333333333331,133.33333333333331,False,False,False,True,False,False,False
2025,6,SBBE→SBSN,SBBE,BELÉM,PA,N,SBSN,SANTARÉM,PA,N,86,0,86.0,57,29,4,0,0,0,0,0.0,0.6627906976744186,0.3372093023255814,0.046511627906976744,0.0,198.83720930232556,198.83720930232556,False,False,False,False,True,False,False
2025,6,SBCF→SBTC,SBCF,CONFINS,MG,SE,SBTC,UNA,BA,NE,5,0,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False
2025,7,SBKP→SBRF,SBKP,CAMPINAS,SP,SE,SBRF,RECIFE,PE,NE,201,1,201.0,89,25,6,0,1,0,0,0.004975124378109453,0.4427860696517413,0.12437810945273632,0.029850746268656716,2.487562189054726,132.83582089552237,135.3233830845771,False,False,False,False,True,False,False
2025,7,SBMO→SBKP,SBMO,RIO LARGO,AL,NE,SBKP,CAMPINAS,SP,SE,89,2,89.0,2,0,0,0,0,0,0,0.02247191011235955,0.02247191011235955,0.0,0.0,11.235955056179774,6.741573033707865,17.977528089887638,False,False,False,False,True,False,False
2025,7,SBJP→SBUL,SBJP,SANTA RITA,PB,NE,SBUL,UBERLÂNDIA,MG,SE,4,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False
2025,8,SBBR→SBAR,SBBR,BRASÍLIA,DF,CO,SBAR,ARACAJU,SE,NE,31,0,31.0,8,2,2,0,0,0,0,0.0,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.0,77.41935483870968,77.41935483870968,False,False,False,False,True,False,False
2025,8,SBSN→SBTB,SBSN,SANTARÉM,PA,N,SBTB,ORIXIMINÁ,PA,N,8,0,8.0,1,1,0,0,0,0,0,0.0,0.125,0.125,0.0,0.0,37.5,37.5,False,False,False,False,True,False,False
2025,8,SBFI→SBCF,SBFI,FOZ DO IGUAÇU,PR,S,SBCF,CONFINS,MG,SE,6,0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False
2025,9,SBGR→SBCY,SBGR,GUARULHOS,SP,SE,SBCY,VÁRZEA GRANDE,MT,CO,282,2,282.0,10,0,0,0,0,0,0,0.0070921985815602835,0.03546099290780142,0.0,0.0,3.5460992907801416,10.638297872340427,14.184397163120568,False,False,False,False,True,False,False
2025,9,SBBR→SBCG,SBBR,BRASÍLIA,DF,CO,SBCG,CAMPO GRANDE,MS,CO,60,0,60.0,4,2,0,0,0,0,0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,20.0,20.0,False,False,False,False,True,False,False
2025,9,SBRF→SBSL,SBRF,RECIFE,PE,NE,SBSL,SÃO LUÍS,MA,NE,56,0,56.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False
2025,9,SBMA→SBCF,SBMA,MARABÁ,PA,N,SBCF,CONFINS,MG,SE,26,0,26.0,1,1,0,0,0,0,0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,11.538461538461538,11.538461538461538,False,False,False,False,True,False,False
2025,10,SBAR→SBRF,SBAR,ARACAJU,SE,NE,SBRF,RECIFE,PE,NE,67,0,67.0,7,2,0,0,0,0,0,0.0,0.1044776119402985,0.029850746268656716,0.0,0.0,31.34328358208955,31.34328358208955,False,False,False,False,True,False,False
2025,12,SBSJ→SBKP,SBSJ,SÃO JOSÉ DOS CAMPOS,SP,SE,SBKP,CAMPINAS,SP,SE,19,4,19.0,7,2,1,0,0,0,0,0.21052631578947367,0.3684210526315789,0.10526315789473684,0.05263157894736842,105.26315789473684,110.52631578947368,215.78947368421052,False,False,False,True,False,False,False
